StudyHours,Attendance,PastScore,Internet,SleepHours,Passed
3,85,72,Yes,7,Yes
1,60,45,No,5,No
5,95,88,Yes,8,Yes
2,70,55,Yes,6,No
4,90,80,Yes,7,Yes
0,50,30,No,4,No
6,98,92,Yes,8,Yes
1,65,48,Yes,6,No
3,75,68,No,7,Yes
2,80,62,Yes,5,No
4,88,79,Yes,8,Yes
0,55,35,No,5,No
5,92,85,Yes,7,Yes
1,62,40,Yes,6,No
3,78,70,No,6,Yes
2,73,58,Yes,5,No
4,89,81,Yes,7,Yes
0,45,25,No,4,No
6,96,90,Yes,9,Yes
1,58,42,Yes,5,No
3,70,65,No,6,Yes
2,68,50,Yes,5,No
5,91,87,Yes,8,Yes
0,40,20,No,4,No
4,85,75,Yes,7,Yes
1,55,38,No,5,No
3,80,70,Yes,7,Yes
2,65,49,No,6,No
5,93,89,Yes,8,Yes
0,48,28,No,4,No
6,99,95,Yes,9,Yes
1,50,32,Yes,5,No
3,72,60,No,6,Yes
2,60,40,Yes,5,No
4,87,78,Yes,7,Yes
0,42,22,No,4,No
5,90,82,Yes,8,Yes
1,52,36,Yes,5,No
3,77,67,No,6,Yes
2,63,47,Yes,5,No
4,86,76,Yes,7,Yes
0,44,24,No,4,No
6,97,91,Yes,9,Yes
1,57,39,Yes,5,No
3,74,64,No,6,Yes
2,67,53,Yes,5,No
5,94,86,Yes,8,Yes
0,46,26,No,4,No
4,83,73,Yes,7,Yes
1,59,43,No,5,No
